TF	homer_db	enformer_db	cistrome_db	cistrome_files
FAIRE	0	0	0	0
FAM208A	0	0	0	0
FANCD2	0	0	0	0
FASN	0	0	0	0
FERD3L	0	0	0	0
FEV	0	0	0	0
FEZF1	0	0	0	0
FGFR1	0	0	0	0
FIP1L1	0	0	0	0
FKHR	1	0	0	0
FLI	1	0	0	0
FLI1	1	0	1	24
FOS	1	1	1	26
FOSL1	0	0	0	0
FOSL2	1	1	1	42
FOX	1	0	0	0
FOXA1	1	1	1	195
FOXA2	1	1	1	49
FOXA3	1	1	0	0
FOXC1	0	0	0	0
FOXD2	0	0	0	0
FOXD3	1	0	1	1
FOXF1	1	0	1	1
FOXF2	0	0	0	0
FOXG1	0	0	0	0
FOXH1	1	0	1	2
FOXJ2	0	0	0	0
FOXK1	1	0	1	4
FOXK2	1	1	1	10
FOXL2	1	0	0	0
FOXM1	1	1	1	38
FOXN3	0	0	0	0
FOXO1	1	0	1	8
FOXO3	1	0	1	5
FOXO4	0	0	0	0
FOXP1	1	1	1	19
FOXP2	0	0	0	0
FOXP3	0	0	0	0
FOXQ1	0	0	0	0
FOXR2	0	0	0	0
FRA1	1	0	0	0
FRA2	1	0	0	0
FUS	0	0	0	0
FXR	1	0	0	0
FXR1	0	0	0	0
FXR2	0	0	0	0
GABP	1	0	1	2
GABPA	0	0	0	0
GABPB1	0	0	0	0
GAPDH	0	0	0	0
GATA	1	0	0	0
GATA1	0	0	0	0
GATA2	1	1	1	44
GATA3	1	1	1	77
GATA4	1	1	1	30
GATA6	1	1	1	19
GATAD1	0	0	0	0
GATAD2A	0	0	0	0
GATAD2B	0	0	0	0
GCG	0	0	0	0
GFI1B	1	1	1	3
GFX	1	0	0	0
GFY	1	0	0	0
GLI	1	0	0	0
GLI1	0	0	0	0
GLI2	1	1	1	11
GLI3	0	0	0	0
GLI4	0	0	0	0
GLIS1	0	0	0	0
GLIS2	0	0	0	0
GLIS3	1	0	1	1
GLYR1	0	0	0	0
GMEB1	0	0	0	0
GMEB2	0	0	0	0
GPS2	0	0	0	0
GR	0	0	0	0
GRE	1	0	0	0
GREB1	0	0	0	0
GRHL1	0	0	0	0
GRHL2	1	0	1	18
GRHL3	0	0	0	0
GRIP1	0	0	0	0
GROUPS	1	0	0	0
GRP20	0	0	0	0
GSC	1	0	0	0
GTF2A2	0	0	0	0
GTF2B	0	0	0	0
GTF2E2	0	0	0	0
GTF2F1	0	0	0	0
GTF2I	0	0	0	0
GTF3A	0	0	0	0
GTF3C1	0	0	0	0
GTF3C2	0	0	0	0
GTF3C5	0	0	0	0
GUCY1B3	0	0	0	0
GZF1	0	0	0	0
H2AFX	0	0	0	0
H2AZ	0	0	0	0
H3	0	0	0	0
H3F3B	0	0	0	0
H3Pan	0	0	0	0
HALF	1	0	0	0
HAND1	0	0	0	0
HAND2	1	0	1	2
HBG1, HBG2	0	0	0	0
hBMAL1	0	0	0	0
HBP1	0	0	0	0
HCFC1	0	0	0	0
HCFC1R1	0	0	0	0
HDAC1	0	0	0	0
HDAC2	0	0	0	0
HDAC3	0	0	0	0
HDAC4	0	0	0	0
HDAC6	0	0	0	0
HDAC8	0	0	0	0
HDGF	0	0	0	0
HEB	1	0	0	0
HECTD1	0	0	0	0
HES1	0	0	0	0
HES2	0	0	0	0
HES4	0	0	0	0
HES5	0	0	0	0
HES7	0	0	0	0
HESX1	0	0	0	0
HEXIM1	0	0	0	0
HEY1	0	0	0	0
HEYL	0	0	0	0
HHEX	0	0	0	0
hHIF1a	0	0	0	0
hHIF1A	0	0	0	0
HIC1	1	1	1	2
HIC2	0	0	0	0
HIF1A	1	0	1	20
HIF1B	1	0	0	0
HIF2A	1	0	0	0
HINFP	1	1	1	5
HIRA	0	0	0	0
HIST1H1B	0	0	0	0
HIVEP1	0	0	0	0
HIVEP3	0	0	0	0
HJURP	0	0	0	0
HKR1	0	0	0	0
HLF	1	1	1	2
HLTF	0	0	0	0
HMBOX1	0	0	0	0
HMG20A	0	0	0	0
HMG20B	0	0	0	0
HMGA1	0	0	0	0
HMGN1	0	0	0	0
HMGN3	0	0	0	0
HN1L	0	0	0	0
HNF1	1	0	0	0
HNF1A	0	0	0	0
HNF1B	1	0	1	6
HNF4	1	0	0	0
HNF4A	0	0	0	0
HNF4G	0	0	0	0
HNF6	1	0	0	0
HNF6B	1	0	0	0
HNRNPH1	0	0	0	0
HNRNPK	0	0	0	0
HNRNPL	0	0	0	0
HNRNPLL	0	0	0	0
HNRNPUL1	0	0	0	0
HOMEZ	0	0	0	0
HOTAIR	0	0	0	0
HOXA1	1	1	1	1
HOXA10	1	1	1	1
HOXA11	1	0	1	3
HOXA13	1	1	1	3
HOXA2	1	1	1	1
HOXA4	0	0	0	0
HOXA5	0	0	0	0
HOXA6	0	0	0	0
HOXA7	0	0	0	0
HOXA9	1	0	1	4
HOXB1	0	0	0	0
HOXB13	1	0	1	19
HOXB2	0	0	0	0
HOXB4	1	0	1	1
HOXB5	0	0	0	0
HOXB6	0	0	0	0
HOXB7	0	0	0	0
HOXB8	0	0	0	0
HOXC11	0	0	0	0
HOXC13	0	0	0	0
HOXC6	0	0	0	0
HOXC8	0	0	0	0
HOXC9	1	0	1	2
HOXD1	0	0	0	0
HOXD10	1	0	0	0
HOXD11	1	0	1	2
HOXD12	1	0	0	0
HOXD13	1	0	1	1
HOXD4	0	0	0	0
HOXD9	0	0	0	0
HP1BP3	0	0	0	0
HSF	1	0	0	0
HSF1	1	1	1	68
HSF2	0	0	0	0
HSF4	0	0	0	0
ICE1	0	0	0	0
ICE2	0	0	0	0
ID1	0	0	0	0
ID2	0	0	0	0
ID3	0	0	0	0
ID4	0	0	0	0
IGF1R	0	0	0	0
IKZF1	0	0	0	0
IKZF2	0	0	0	0
IKZF3	0	0	0	0
IKZF5	0	0	0	0
IL1RN	0	0	0	0
ILF3	0	0	0	0
ILK	0	0	0	0
ING2	0	0	0	0
ING5	0	0	0	0
INO80	0	0	0	0
INSECTS	1	0	0	0
INSM2	0	0	0	0
INTS11	0	0	0	0
INTS12	0	0	0	0
INTS3	0	0	0	0
IRAK1	0	0	0	0
IRAK4	0	0	0	0
IRF	1	0	0	0
IRF1	1	1	1	16
IRF2	1	1	1	3
IRF3	1	1	1	14
IRF4	1	1	1	8
IRF5	0	0	0	0
IRF8	1	0	1	1
IRF9	0	0	0	0
IRX2	0	0	0	0
IRX3	0	0	0	0
IRX5	0	0	0	0
ISL1	1	0	1	1
ISL2	0	0	0	0
ISRE	1	0	0	0
JARID2	0	0	0	0
JAZF1	0	0	0	0
JDP2	0	0	0	0
JMJD1C	0	0	0	0
JMJD6	0	0	0	0
JUN	1	0	1	34
JUNB	1	1	1	9
JUND	1	1	1	27
KAT2A	0	0	0	0
KAT2B	0	0	0	0
KAT5	0	0	0	0
KAT7	0	0	0	0
KAT8	0	0	0	0
KCMF1	0	0	0	0
KDM1A	0	0	0	0
KDM1B	0	0	0	0
KDM2B	0	0	0	0
KDM3A	0	0	0	0
KDM3B	0	0	0	0
KDM4A	0	0	0	0
KDM4B	0	0	0	0
KDM4C	0	0	0	0
KDM5A	0	0	0	0
KDM5B	0	0	0	0
KDM5C	0	0	0	0
KDM6A	0	0	0	0
KDM6B	0	0	0	0
KHSRP	0	0	0	0
KLF1	1	1	1	6
KLF10	1	1	1	6
KLF11	0	0	0	0
KLF12	0	0	0	0
KLF13	0	0	0	0
KLF14	1	1	0	0
KLF15	0	0	0	0
KLF16	0	0	0	0
KLF17	0	0	0	0
KLF3	1	1	1	1
KLF4	1	1	1	20
KLF5	1	1	1	11
KLF6	1	1	1	2
KLF7	0	0	0	0
KLF8	0	0	0	0
KLF9	1	1	1	6
KMT2A	0	0	0	0
KMT2B	0	0	0	0
KMT2D	0	0	0	0
KRAB	0	0	0	0
L3MBTL2	0	0	0	0
L3MBTL3	0	0	0	0
L3MBTL4	0	0	0	0
LANA	0	0	0	0
LARP7	0	0	0	0
LCOR	0	0	0	0
LCORL	0	0	0	0
LDB1	0	0	0	0
LEF1	1	1	1	9
LEO1	0	0	0	0
LHX1	1	0	0	0
LHX2	1	1	1	2
LHX3	1	0	1	1
LHX4	0	0	0	0
LHX5	0	0	0	0
LHX6	0	0	0	0
LHX9	1	0	0	0
LIMB	1	0	0	0
LIN9	0	0	0	0
LMNA	0	0	0	0
LMNB1	0	0	0	0
LMO1	0	0	0	0
LMO2	0	0	0	0
LMTK3	0	0	0	0
LMX1B	0	0	0	0
LONG	1	0	0	0
LONGEST	1	0	0	0
LOXL1	0	0	0	0
LRF	1	0	0	0
LRH1	1	0	0	0
LRWD1	0	0	0	0
LXRE	1	0	0	0
LYL1	0	0	0	0
MAF	0	0	0	0
MAFA	1	0	0	0
MAFB	1	0	1	2
MAFF	1	1	1	3
MAFG	0	0	0	0
MAFK	1	1	1	9
MAML3	0	0	0	0
MAP1LC3A	0	0	0	0
MAP2K1	0	0	0	0
MAPK1	0	0	0	0
MAX	1	1	1	36
MAZ	1	1	1	10
MBD1	0	0	0	0
MBD1_isoform1	0	0	0	0
MBD1_isoform2	0	0	0	0
MBD2	0	0	0	0
MBD3	0	0	0	0
MBD3L2	0	0	0	0
MBD4	0	0	0	0
MBOAT4	0	0	0	0
MBTD1	0	0	0	0
MCM2	0	0	0	0
MCM3	0	0	0	0
MCM5	0	0	0	0
MCM7	0	0	0	0
MCRS1	0	0	0	0
MDM2	0	0	0	0
MECOM	0	0	0	0
MECP2	0	0	0	0
MED1	0	0	0	0
MED12	0	0	0	0
MEF2A	1	1	1	4
MEF2B	1	1	1	15
MEF2C	1	1	1	4
MEF2D	1	1	1	3
MEIS1	1	0	1	5
MEIS2	0	0	0	0
MEIS3	0	0	0	0
MEN1	0	0	0	0
MEOX2	0	0	0	0
MEPCE	0	0	0	0
METTL14	0	0	0	0
METTL3	0	0	0	0
MGA	0	0	0	0
MGEA5	0	0	0	0
MIER1	0	0	0	0
MIER2	0	0	0	0
MIER3	0	0	0	0
MITF	1	1	1	11
MIXL1	0	0	0	0
MKL1	0	0	0	0
MKL2	0	0	0	0
MLLT1	0	0	0	0
MLLT3	0	0	0	0
MLX	0	0	0	0
MNT	1	1	1	3
MORC2	0	0	0	0
MPHOSPH8	0	0	0	0
MRE11A	0	0	0	0
MSC	0	0	0	0
MSX1	0	0	0	0
MSX2	0	0	0	0
MTA1	0	0	0	0
MTA2	0	0	0	0
MTA3	0	0	0	0
MTF1	0	0	0	0
MTOR	0	0	0	0
MXD1	0	0	0	0
MXD3	0	0	0	0
MXI1	0	0	0	0
MYB	1	1	1	13
MYBA	1	0	0	0
MYBL1	0	0	0	0
MYBL2	0	0	0	0
MYC	1	0	1	168
MYCN	0	0	0	0
MYF5	1	0	1	1
MYF6	0	0	0	0
MYH11	0	0	0	0
MYNN	1	1	1	6
MYOD	1	0	0	0
MYOD1	0	0	0	0
MYOG	1	0	1	2
MYRF	0	0	0	0
MYS	1	0	0	0
MYT1	0	0	0	0
MZF1	0	0	0	0
NANOG	1	1	1	21
NBN	0	0	0	0
NCAPG	0	0	0	0
NCAPG2	0	0	0	0
NCAPH2	0	0	0	0
NCOA1	0	0	0	0
NCOA2	0	0	0	0
NCOA3	0	0	0	0
NCOA4	0	0	0	0
NCOA6	0	0	0	0
NCOR1	0	0	0	0
NCOR2	0	0	0	0
NELFA	0	0	0	0
NELFE	0	0	0	0
NEUROD1	1	1	1	10
NEUROD2	0	0	0	0
NEUROG2	1	0	1	12
NEUROG3	0	0	0	0
NF1	1	0	0	0
NFAT	1	0	0	0
NFAT5	0	0	0	0
NFATC1	1	1	1	4
NFATC3	0	0	0	0
NFATC4	0	0	0	0
NFE2	1	1	1	11
NFE2L1	0	0	0	0
NFE2L2	1	1	1	15
NFE2L3	0	0	0	0
NFIA	0	0	0	0
NFIB	0	0	0	0
NFIC	0	0	0	0
NFIL3	1	1	1	2
NFKB	1	0	0	0
NFKB1	0	0	0	0
NFKB2	0	0	0	0
NFKBIA	0	0	0	0
NFKBIZ	0	0	0	0
NFRKB	0	0	0	0
NFXL1	0	0	0	0
NFY	1	0	0	0
NFYA	0	0	0	0
NFYB	0	0	0	0
NFYC	0	0	0	0
NHLH1	0	0	0	0
NIPBL	0	0	0	0
NKRF	0	0	0	0
NKX2	1	0	0	0
NKX2-1	0	0	0	0
NKX2-2	0	0	0	0
NKX2-3	0	0	0	0
NKX2-5	0	0	0	0
NKX2-8	0	0	0	0
NKX2.2	0	0	0	0
NKX3	1	0	0	0
NKX3-1	0	0	0	0
NKX6	1	0	0	0
NKX6-1	0	0	0	0
NME2	0	0	0	0
NMYC	1	0	0	0
NONO	0	0	0	0
NOTCH1	0	0	0	0
NOTCH3	0	0	0	0
NPAS	1	0	0	0
NPAS2	1	0	0	0
NPAS4	1	0	0	0
NPAT	0	0	0	0
NR0B1	0	0	0	0
NR0B2	0	0	0	0
NR1D1	0	0	0	0
NR1H2	0	0	0	0
NR1H3	0	0	0	0
NR1I2	0	0	0	0
NR2C1	0	0	0	0
NR2C2	0	0	0	0
NR2E3	0	0	0	0
NR2F1	0	0	0	0
NR2F2	0	0	0	0
NR2F6	1	1	1	5
NR3C1	0	0	0	0
NR3C2	0	0	0	0
NR4A1	0	0	0	0
NR4A2	0	0	0	0
NR5A2	1	0	1	5
NRF	1	0	0	0
NRF1	1	1	1	24
NRF2	1	0	0	0
NUFIP1	0	0	0	0
NUP153	0	0	0	0
NUP98	0	0	0	0
NUP98-HOXA9	0	0	0	0
NUR77	1	0	0	0
OCT	1	0	0	0
OCT11	1	0	0	0
OCT2	1	0	0	0
OCT4	1	0	0	0
OCT6	1	0	0	0
OGT	0	0	0	0
OLD	1	0	0	0
OLIG2	1	0	0	0
ORC1	0	0	0	0
ORC2	0	0	0	0
OSR2	0	0	0	0
OTX1	0	0	0	0
OTX2	1	0	1	24
OVOL2	0	0	0	0
OVOL3	0	0	0	0
P50	1	0	0	0
P53	1	0	0	0
P63	1	0	0	0
P65	1	0	0	0
P73	1	0	0	0
PAF1	0	0	0	0
PAK1IP1	0	0	0	0
PALB2	0	0	0	0
PARP1	0	0	0	0
PATZ1	0	0	0	0
PAX2	0	0	0	0
PAX3	1	0	1	4
PAX5	1	1	1	12
PAX6	1	0	1	4
PAX7	1	0	0	0
PAX8	1	1	1	4
PBX1	1	0	1	3
PBX2	1	1	1	7
PBX3	1	1	1	5
PCBP1	0	0	0	0
PCBP2	0	0	0	0
PCF11	0	0	0	0
PCGF1	0	0	0	0
PCGF2	0	0	0	0
PCGF5	0	0	0	0
PCGF6	0	0	0	0
PDX1	1	0	1	3
PGBD3	0	0	0	0
PGBD5	0	0	0	0
PGR	1	0	1	1
PHB2	0	0	0	0
PHF2	0	0	0	0
PHF20	0	0	0	0
PHF21A	0	0	0	0
PHF5A	0	0	0	0
PHF6	0	0	0	0
PHF8	0	0	0	0
PHIP	0	0	0	0
PHOX2A	1	0	0	0
PHOX2B	1	0	1	1
PIAS1	0	0	0	0
PIAS4	0	0	0	0
PIT1	1	0	0	0
PITX1	1	0	1	1
PITX3	0	0	0	0
PKNOX1	1	1	1	2
PLAG1	0	0	0	0
PLANTS	1	0	0	0
PLRG1	0	0	0	0
PMEL	0	0	0	0
PML	0	0	0	0
POLB	0	0	0	0
POLR2A	0	0	0	0
POLR2AphosphoS2	0	0	0	0
POLR2AphosphoS5	0	0	0	0
POLR2B	0	0	0	0
POLR2G	0	0	0	0
POLR2H	0	0	0	0
POLR2M	0	0	0	0
POLR3A	0	0	0	0
POLR3D	0	0	0	0
POLR3G	0	0	0	0
POLR3GL	0	0	0	0
POU2F1	0	0	0	0
POU2F2	0	0	0	0
POU3F2	0	0	0	0
POU5F1	0	0	0	0
PPARA	1	0	1	1
PPARD	0	0	0	0
PPARG	1	1	1	32
PPARGC1A	0	0	0	0
PPP1R10	0	0	0	0
PR	1	0	1	118
PRAME	0	0	0	0
PRDM1	1	1	1	9
PRDM10	1	1	1	2
PRDM11	0	0	0	0
PRDM12	0	0	0	0
PRDM14	1	0	1	2
PRDM15	1	0	0	0
PRDM2	0	0	0	0
PRDM4	0	0	0	0
PRDM6	0	0	0	0
PRDM9	1	0	1	1
PRKDC	0	0	0	0
PRMT1	0	0	0	0
PRMT5	0	0	0	0
PROP1	1	0	0	0
PROX1	0	0	0	0
PRPF4	0	0	0	0
PSE	1	0	0	0
PSIP1	0	0	0	0
PSMD1	0	0	0	0
PTBP1	0	0	0	0
PTF1A	1	0	0	0
PTPA	0	0	0	0
PTPN11	0	0	0	0
PTRF	0	0	0	0
PTTG1	0	0	0	0
PU1	1	0	0	0
PWWP2A	0	0	0	0
PYGO2	0	0	0	0
RAC3	0	0	0	0
RAD21	0	0	0	0
RAD51	0	0	0	0
RAG1	0	0	0	0
RAG2	0	0	0	0
RARA	1	1	1	16
RARG	1	1	1	6
RAW	1	0	0	0
RAX2	0	0	0	0
RB1	0	0	0	0
RBAK	0	0	0	0
RBBP5	0	0	0	0
RBCK1	0	0	0	0
RBFOX2	0	0	0	0
RBL1	0	0	0	0
RBL2	0	0	0	0
RBM14	0	0	0	0
RBM15	0	0	0	0
RBM17	0	0	0	0
RBM22	0	0	0	0
RBM25	0	0	0	0
RBM34	0	0	0	0
RBM39	0	0	0	0
RBP2	0	0	0	0
RBPJ	0	0	0	0
RBPJ1	1	0	0	0
RCOR1	0	0	0	0
RCOR2	0	0	0	0
REL	0	0	0	0
RELA	0	0	0	0
RELB	0	0	0	0
REPIN1	0	0	0	0
RERE	0	0	0	0
REST	1	1	1	79
REVERB	1	0	0	0
RFX1	1	1	1	9
RFX2	1	1	1	3
RFX3	1	1	0	0
RFX5	1	1	1	9
RFX6	1	0	0	0
RFX7	0	0	0	0
RFXANK	0	0	0	0
RING1	0	0	0	0
RLF	0	0	0	0
RNA	1	0	0	0
RNAPII	0	0	0	0
RNF2	0	0	0	0
RONIN	1	0	0	0
RORA	1	0	1	1
RORG	1	0	0	0
RORGT	1	0	0	0
RPA1	0	0	0	0
RPA2	0	0	0	0
RPE	0	0	0	0
RUNX	1	0	0	0
RUNX1	1	1	1	77
RUNX1M	1	0	0	0
RUNX1T1	0	0	0	0
RUNX2	1	0	1	4
RUNX3	0	0	0	0
RUVBL1	0	0	0	0
RUVBL2	0	0	0	0
RXR	1	0	0	0
RXRA	0	0	0	0
RXRB	0	0	0	0
RXRG	0	0	0	0
RYBP	0	0	0	0
SAFB	0	0	0	0
SAFB2	0	0	0	0
SALL1	0	0	0	0
SALL2	0	0	0	0
SALL4	0	0	0	0
SAP130	0	0	0	0
SAP30	0	0	0	0
SATB1	0	0	0	0
SCL	1	0	0	0
SCML2	0	0	0	0
SCRT1	1	1	1	3
SCRT2	0	0	0	0
SETBP1	0	0	0	0
SETD1A	0	0	0	0
SETDB1	0	0	0	0
SETX	0	0	0	0
SF1	1	0	1	4
SFMBT1	0	0	0	0
SFPQ	0	0	0	0
SHORT	1	0	0	0
SIN3A	0	0	0	0
SIN3B	0	0	0	0
SIRT1	0	0	0	0
SIRT3	0	0	0	0
SIRT6	0	0	0	0
SIX1	1	0	1	5
SIX2	1	0	1	6
SIX4	1	1	1	2
